target,split_mode,fold_id,model,feature_mode,n_train,n_test,accuracy,macro_f1,weighted_f1,pr_auc,roc_auc
label_sensitive_binary,random,random_fold_1,dtree,both,1600000,400000,0.85795,0.6220354507985464,0.8879378090533527,0.22821886162870464,0.7866956390219937
label_sensitive_binary,state,state_fold_1,dtree,both,1587442,412558,0.880111402517949,0.6366412592083536,0.9026980711974444,0.2078643139287225,0.7828192182886209
label_sensitive_binary,state,state_fold_2,dtree,both,1619926,380074,0.8406705010076985,0.6129220538439255,0.8754359668429019,0.2459542895727094,0.8115760530956756
label_sensitive_binary,state,state_fold_3,dtree,both,1584783,415217,0.8382845596398991,0.6048595454722039,0.8766855030330134,0.22477433654012557,0.7931029823200842
label_sensitive_binary,state,state_fold_4,dtree,both,1601347,398653,0.8595470246053586,0.6229754643360284,0.8886666362008074,0.1978702052885138,0.7780143637640633
label_sensitive_binary,state,state_fold_5,dtree,both,1606502,393498,0.8407895338731074,0.6106899040888726,0.8765755753505632,0.2076892387379941,0.7859282501419304
label_target_main,random,random_fold_1,dtree,both,1408899,352225,0.4654893888849457,0.2966116229477046,0.46971596112460634,,
label_target_main,state,state_fold_1,dtree,both,1422836,338288,0.40177895757461096,0.19925701625445766,0.34435357304111336,,
label_target_main,state,state_fold_2,dtree,both,1416548,344576,0.18490260494056462,0.17191307105527356,0.20349547093644188,,
label_target_main,state,state_fold_3,dtree,both,1386202,374922,0.33970799259579326,0.20020344394823553,0.3450984271975272,,
label_target_main,state,state_fold_4,dtree,both,1399592,361532,0.21698770786541716,0.19245697579163934,0.16770469843018895,,
label_target_main,state,state_fold_5,dtree,both,1419318,341806,0.3896098956718138,0.21720228697090063,0.379471492338025,,
