model,split_mode,fold_id,class_weight,best_threshold,val_macro_f1,n_train,n_val,n_test,threshold,accuracy,macro_f1,weighted_f1,pr_auc,roc_auc
sgd,random,random_fold_1,balanced,0.7700000000000002,0.654,3171616,352402,881005,0.7700000000000002,0.9211968150010499,0.6525325168377294,0.9201883099156942,0.2430347549361458,0.8139531722984937
dtree,random,random_fold_1,balanced,0.7900000000000001,0.654,3171616,352402,881005,0.7900000000000001,0.9211968150010499,0.6525325168377294,0.9201883099156942,0.2233057365138025,0.7674468746087449
xgb,random,random_fold_1,balanced,0.19,0.654,3171616,352402,881005,0.19,0.9211968150010499,0.6525325168377294,0.9201883099156942,0.24392467318691696,0.814110423780709
sgd,state,state_fold_1,balanced,0.7800000000000001,0.6517,2719724,302192,1383107,0.7800000000000001,0.9307732518163815,0.649316797242243,0.9303416722144542,0.2226927125318416,0.817857953033488
dtree,state,state_fold_1,balanced,0.7800000000000001,0.6517,2719724,302192,1383107,0.7800000000000001,0.9307732518163815,0.649316797242243,0.9303416722144542,0.2006699471884859,0.7444975926672038
xgb,state,state_fold_1,balanced,0.2,0.6517,2719724,302192,1383107,0.2,0.9307732518163815,0.649316797242243,0.9303416722144542,0.22515924458417952,0.8181499292832576
sgd,state,state_fold_2,balanced,0.7800000000000001,0.6545,3338542,370950,695531,0.7800000000000001,0.9152546759238624,0.6493683711817,0.9130311792350183,0.24899853593883342,0.8112175338966958
dtree,state,state_fold_2,balanced,0.7800000000000001,0.6545,3338542,370950,695531,0.7800000000000001,0.9152546759238624,0.6493683711817,0.9130311792350183,0.2276073574227076,0.7665734437822025
xgb,state,state_fold_2,balanced,0.19,0.6545,3338542,370950,695531,0.19,0.9152546759238624,0.6493683711817,0.9130311792350183,0.24895362333424553,0.8112266549884926
sgd,state,state_fold_3,balanced,0.7900000000000001,0.655,3481617,386847,536559,0.7900000000000001,0.907663462918337,0.6540968329474761,0.907529889143148,0.2606846473639435,0.8136873919786305
dtree,state,state_fold_3,balanced,0.7900000000000001,0.655,3481617,386847,536559,0.7900000000000001,0.907663462918337,0.6540968329474761,0.907529889143148,0.23489542238345792,0.7648326069988021
xgb,state,state_fold_3,balanced,0.19,0.655,3481617,386847,536559,0.19,0.907663462918337,0.6540968329474761,0.907529889143148,0.25789608789190543,0.8133381368603457
sgd,state,state_fold_4,balanced,0.7900000000000001,0.6522,3479861,386652,538510,0.7900000000000001,0.9221240088392044,0.6606373399984964,0.9224232768497287,0.23992490735450767,0.8119944545912287
dtree,state,state_fold_4,balanced,0.7900000000000001,0.6522,3479861,386652,538510,0.7900000000000001,0.9221240088392044,0.6606373399984964,0.9224232768497287,0.22002743685061565,0.7605067896974553
xgb,state,state_fold_4,balanced,0.2,0.6522,3479861,386652,538510,0.2,0.9221240088392044,0.6606373399984964,0.9224232768497287,0.2416842762595871,0.8121679931522097
sgd,state,state_fold_5,balanced,0.7700000000000002,0.6524,2838336,315371,1251316,0.7700000000000002,0.9202599503242985,0.6549642886472825,0.9183604841035998,0.2524306087432286,0.8094272335237548
dtree,state,state_fold_5,balanced,0.7900000000000001,0.6524,2838336,315371,1251316,0.7900000000000001,0.9202599503242985,0.6549642886472825,0.9183604841035998,0.2297801320985578,0.7616524155788776
xgb,state,state_fold_5,balanced,0.2,0.6524,2838336,315371,1251316,0.2,0.9202599503242985,0.6549642886472825,0.9183604841035998,0.25230272842784823,0.8093826446028596
