model,class_weight,best_threshold,val_macro_f1,threshold,accuracy,macro_f1,weighted_f1,pr_auc,roc_auc
sgd,balanced,0.7700000000000002,0.654,0.7700000000000002,0.9211968150010499,0.6525325168377294,0.9201883099156942,0.2430347549361458,0.8139531722984937
sgd,"{0: 1, 1: 5}",0.5300000000000001,0.654,0.5300000000000001,0.9211968150010499,0.6525325168377294,0.9201883099156942,0.243938380432917,0.8139289975414868
sgd,"{0: 1, 1: 10}",0.6900000000000002,0.654,0.6900000000000002,0.9211968150010499,0.6525325168377294,0.9201883099156942,0.2441298529702945,0.8139804468690793
sgd,"{0: 1, 1: 20}",0.8200000000000002,0.654,0.8200000000000002,0.9211968150010499,0.6525325168377294,0.9201883099156942,0.24411572852133295,0.8139512621574717
dtree,balanced,0.7900000000000001,0.654,0.7900000000000001,0.9211968150010499,0.6525325168377294,0.9201883099156942,0.2233057365138025,0.7674468746087449
dtree,"{0: 1, 1: 5}",0.5500000000000002,0.654,0.5500000000000002,0.9211968150010499,0.6525325168377294,0.9201883099156942,0.21693626095080426,0.7434717893239129
dtree,"{0: 1, 1: 10}",0.7100000000000002,0.654,0.7100000000000002,0.9211968150010499,0.6525325168377294,0.9201883099156942,0.2233057365138025,0.7674468746087449
dtree,"{0: 1, 1: 20}",0.8300000000000002,0.654,0.8300000000000002,0.9211968150010499,0.6525325168377294,0.9201883099156942,0.2233057365138025,0.7674468746087449
xgb,balanced,0.7800000000000001,0.654,0.7800000000000001,0.9211968150010499,0.6525325168377294,0.9201883099156942,0.24384377966055662,0.8142202793791935
xgb,"{0: 1, 1: 5}",0.5400000000000001,0.654,0.5400000000000001,0.9211968150010499,0.6525325168377294,0.9201883099156942,0.2438670107245388,0.8141715788484055
xgb,"{0: 1, 1: 10}",0.7000000000000002,0.654,0.7000000000000002,0.9211968150010499,0.6525325168377294,0.9201883099156942,0.24380579716676384,0.8141925000419664
xgb,"{0: 1, 1: 20}",0.8300000000000002,0.654,0.8300000000000002,0.9211968150010499,0.6525325168377294,0.9201883099156942,0.24371288800936985,0.8141907019839106
