target,split_mode,fold_id,feature_set,model,n_train,n_test,accuracy,macro_f1,weighted_f1,pr_auc,roc_auc
label_sensitive_binary,random,random_fold_1,full,logreg_balanced,1600000,400000,0.80875,0.6121914242166652,0.8582354498764289,0.5039417884149245,0.9277681376364955
label_sensitive_binary,random,random_fold_1,no_osm_scores,logreg_balanced,1600000,400000,0.8429975,0.6085985709899207,0.8785260735291375,0.2465984467715002,0.8190003706658384
label_sensitive_binary,state,state_fold_1,full,logreg_balanced,1573479,402305,0.7969799033071923,0.5968501782349975,0.851054630098875,0.4839690973907733,0.9211885756233509
label_sensitive_binary,state,state_fold_2,full,logreg_balanced,1585193,390591,0.7983517285344517,0.603240034156049,0.8508179366640837,0.5124376257941452,0.9236152108690049
label_sensitive_binary,state,state_fold_3,full,logreg_balanced,1580310,395474,0.807873589667083,0.6093492076964095,0.8575062695635051,0.4920188093394054,0.922208372334633
label_sensitive_binary,state,state_fold_4,full,logreg_balanced,1570507,405277,0.8231604556883317,0.620866239302859,0.8691183986652636,0.5098905167059997,0.9365069892579646
label_sensitive_binary,state,state_fold_5,full,logreg_balanced,1593647,382137,0.8008698451079064,0.6125152965171667,0.8518015292556784,0.5148331945606446,0.9295497927919623
label_sensitive_binary,state,state_fold_1,no_osm_scores,logreg_balanced,1573479,402305,0.8341084500565491,0.5956889286991779,0.8735468864962186,0.23060488821916636,0.8089104088639306
label_sensitive_binary,state,state_fold_2,no_osm_scores,logreg_balanced,1585193,390591,0.854725275287961,0.6174531607748053,0.8855378221276716,0.24482879643023575,0.8081177593899583
label_sensitive_binary,state,state_fold_3,no_osm_scores,logreg_balanced,1580310,395474,0.8303099571653256,0.5972533125209981,0.8702592489802515,0.24743308462306024,0.8130483065747571
label_sensitive_binary,state,state_fold_4,no_osm_scores,logreg_balanced,1570507,405277,0.853978883578392,0.6155665428139625,0.8869479103915633,0.2599280936726045,0.8319836450972895
label_sensitive_binary,state,state_fold_5,no_osm_scores,logreg_balanced,1593647,382137,0.8419807555928894,0.615435289306201,0.8768709201262546,0.24286502796939077,0.8240361150079026
label_target_main,random,random_fold_1,full,logreg_balanced,1409784,352447,0.6995746878254036,0.4487570251286324,0.6755187240017532,,
label_target_main,random,random_fold_1,no_osm_scores,logreg_balanced,1409784,352447,0.29814411812272484,0.21587100168352122,0.32505593255775383,,
label_target_main,state,state_fold_1,full,logreg_balanced,1409486,324990,0.6856241730514785,0.4424142484826909,0.6575133944185625,,
label_target_main,state,state_fold_2,full,logreg_balanced,1388058,346418,0.6951717289517289,0.4423954676872599,0.6728944975625359,,
label_target_main,state,state_fold_3,full,logreg_balanced,1355976,378500,0.7098599735799207,0.45075389346359374,0.6904111414641265,,
label_target_main,state,state_fold_4,full,logreg_balanced,1410236,324240,0.6894584258573896,0.44625275949148574,0.6625722767946263,,
label_target_main,state,state_fold_5,full,logreg_balanced,1374148,360328,0.7011528385248995,0.44591455437154087,0.6817613916986801,,
label_target_main,state,state_fold_1,no_osm_scores,logreg_balanced,1409486,324990,0.27685467245146006,0.20569742962611873,0.293734552424446,,
label_target_main,state,state_fold_2,no_osm_scores,logreg_balanced,1388058,346418,0.3102321472902678,0.21191114862014857,0.3316864872070284,,
label_target_main,state,state_fold_3,no_osm_scores,logreg_balanced,1355976,378500,0.2513025099075297,0.19670933665150728,0.27664011900512464,,
label_target_main,state,state_fold_4,no_osm_scores,logreg_balanced,1410236,324240,0.27632309400444116,0.2094822598560084,0.29837095164059646,,
label_target_main,state,state_fold_5,no_osm_scores,logreg_balanced,1374148,360328,0.29195344241912924,0.20780829946734825,0.31655238692571785,,
